Profession,ProfileImage,WeightKg,BirthDate,TwitterUsername,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,GoogleKnowledgeGraphId,ProCyclingStatsCyclistId,Birthplace,UciRiderId,CyclingArchivesCyclistId,SportCountry
1,3,70.0,0,4,20237.0,6686.0,2,1,1867.0,182.0,1,8,137172.0,3,57762.0,35734.0,0
0,6,,6,2,,,0,12,,,6,8,197975.0,5,152927.0,,5
0,6,,11,2,,,0,9,,,6,8,261467.0,7,304474.0,,5
0,6,,13,2,,,0,8,,,6,8,273035.0,5,,,5
0,8,66.0,8,2,71935.0,28298.0,1,0,45987.0,176.0,0,5,192457.0,1,98774.0,114071.0,3
0,9,63.0,1,3,3083.0,3366.0,0,11,568.0,175.0,8,8,140270.0,4,30329.0,15181.0,5
0,0,63.0,3,2,58206.0,20196.0,0,2,20466.0,172.0,2,2,161575.0,2,77425.0,73120.0,3
0,6,,7,2,,,0,9,,,6,8,195695.0,5,148600.0,,5
0,4,60.0,4,5,51602.0,20770.0,4,4,18564.0,178.0,4,0,138672.0,8,86539.0,81864.0,4
0,1,,10,2,,29513.0,0,5,78950.0,175.0,5,6,209666.0,10,234791.0,138956.0,6
0,6,,2,2,,19608.0,0,6,9206.0,,6,3,132338.0,5,79740.0,72627.0,5
0,7,62.0,9,1,83295.0,28377.0,6,10,84019.0,171.0,7,4,212377.0,0,587366.0,141854.0,1
0,5,,12,2,104375.0,,5,7,181011.0,,6,7,273882.0,6,,185469.0,5
0,2,60.0,5,0,65688.0,24926.0,3,3,58275.0,175.0,3,1,198937.0,9,95844.0,100412.0,2
