Profession,Profile_Image,Weight_Kg,Birth_Date,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Last_Name,First_Name,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Birth_Place,Uci_Rider_Id,Cycling_Archives_Cyclist_Id
0,10,65.0,5,56041.0,20719.0,12,13,18655,4,177.0,11,174582,10,88889.0,72449
0,14,65.0,3,39928.0,10538.0,9,12,6496,11,179.0,14,140503,12,64295.0,39966
0,12,63.0,1,40040.0,12400.0,11,4,11520,11,178.0,3,138159,0,67372.0,41957
0,3,73.0,0,7299.0,4819.0,6,1,705,11,188.0,1,140705,1,30859.0,17957
0,9,,14,81349.0,,7,8,89436,9,,10,244431,13,,159878
0,2,60.0,13,80654.0,,1,0,65240,7,176.0,0,202483,9,157221.0,121401
0,1,71.0,12,56070.0,20777.0,9,7,18575,3,180.0,6,179769,4,86568.0,79781
0,7,59.0,7,,17940.0,10,10,6538,1,172.0,8,138871,3,507857.0,60701
0,11,70.0,6,41076.0,13362.0,2,14,3277,10,177.0,12,139405,15,65995.0,51551
0,9,,15,,32232.0,9,3,120025,8,,10,242618,5,292109.0,168366
1,8,67.0,4,39287.0,13240.0,13,5,1310,11,178.0,4,140835,2,55029.0,21075
0,13,60.0,9,52111.0,21295.0,4,15,20511,11,172.0,13,132361,7,75186.0,66546
0,6,64.0,10,54277.0,19548.0,5,6,9302,6,184.0,5,141131,14,110814.0,72903
0,0,62.0,8,46381.0,18610.0,0,11,12474,2,173.0,9,137427,8,71557.0,63999
0,5,69.0,11,59981.0,22676.0,8,9,28781,5,182.0,7,170164,11,95753.0,81741
0,4,65.0,2,22917.0,6177.0,3,2,1006,0,179.0,2,140232,6,45643.0,20659
